"id","bond_code","event_date","event_type","W5","W6","W1","W2","W8","W7a","W7b","W3","W9","W4a","W4b"
"114","127044.SZ","2022-8-1","NO","0","1","-0.045255303382873535","1.556488","5.0404","0","1.1098","0","0.04878","0","23"
"115","127051.SZ","2022-8-1","NO","1","1","-0.061430975794792175","5.543098","5.2950","0","1.1658","0","0.34247","1","22"
"116","110081.SH","2022-8-3","NO","0","1","-0.05952181667089462","1.283141","4.9829","0","1.1857","0","0.22124","0","24"
"117","113579.SH","2022-8-4","NO","0","0","0.02305927686393261","3.057563","3.7180","0","1.2522","0","0.00188","0","23"
"118","113638.SH","2022-8-4","NO","0","1","-0.02865641936659813","1.735849","5.4018","0","1.3235","0","0.88800","0","23"
"119","123132.SZ","2022-8-4","NO","0","1","-0.1264774203300476","2.660216","5.3689","0","1.2026","0","0.22963","1","22"
"120","113569.SH","2022-8-5","NO","0","0","-0.04439748451113701","2.790596","3.5921","0","1.0585","0","0.08171","1","22"
"121","113643.SH","2022-8-5","NO","0","0","-0.16008025407791138","1.882150","5.6372","0","1.2224","0","0.07353","1","22"
"122","113644.SH","2022-8-5","NO","0","0","-0.057552505284547806","1.442175","5.6947","0","1.2083","0","0.87719","1","22"
"123","123106.SZ","2022-8-5","NO","0","0","-0.021101633086800575","3.622433","4.6324","0","1.2033","0","0.25962","1","22"
"124","128026.SZ","2022-8-5","NO","1","0","0.043070994317531586","2.486521","1.3552","0","1.0855","0","0.25023","1","22"
"125","128079.SZ","2022-8-5","NO","0","0","-0.014808909967541695","0.991159","3.2115","0","1.5830","0","0.13914","1","21"
"126","113535.SH","2022-8-8","NO","0","0","-0.008650553412735462","0.836346","1.7522","0","1.1594","0","0.20752","0","23"
"127","127004.SZ","2022-8-8","NO","0","0","0.033127300441265106","0.836400","0.8159","0","2.2870","0","0.66217","1","22"
"128","110044.SH","2022-8-9","NO","0","0","0.0987405776977539","0.755068","1.8836","0","2.1725","1","0.10112","0","23"
"129","113046.SH","2022-8-9","NO","0","0","-0.08039193600416183","1.525712","4.6160","0","1.1724","0","0.35313","0","24"
