event_date,Y,bond_code,W1,W2,W3,W4a,W5,W6,W7a,W8,W9
2022-08-01,0,127044.SZ,-0.0452553033828735,1.556488,0,0,0,1,0,5.0404,0.04878
2022-08-01,0,127051.SZ,-0.0614309757947921,5.543098,0,1,1,1,0,5.295,0.34247
2022-08-03,0,110081.SH,-0.0595218166708946,1.283141,0,0,0,1,0,4.9829,0.22124
2022-08-04,0,113579.SH,0.0230592768639326,3.057563,0,0,0,0,0,3.718,0.00188
2022-08-04,0,113638.SH,-0.0286564193665981,1.735849,0,0,0,1,0,5.4018,0.888
2022-08-04,0,123132.SZ,-0.1264774203300476,2.660216,0,1,0,1,0,5.3689,0.22963
2022-08-05,0,113569.SH,-0.044397484511137,2.790596,0,1,0,0,0,3.5921,0.08171
2022-08-05,0,113643.SH,-0.1600802540779113,1.88215,0,1,0,0,0,5.6372,0.07353
2022-08-05,0,113644.SH,-0.0575525052845478,1.442175,0,1,0,0,0,5.6947,0.87719
2022-08-05,0,123106.SZ,-0.0211016330868005,3.622433,0,1,0,0,0,4.6324,0.25962
2022-08-05,0,128026.SZ,0.0430709943175315,2.486521,0,1,1,0,0,1.3552,0.25023
2022-08-05,0,128079.SZ,-0.0148089099675416,0.991159,0,1,0,0,0,3.2115,0.13914
2022-08-08,0,127004.SZ,0.0331273004412651,0.8364,0,1,0,0,0,0.8159,0.66217
2022-08-08,0,113535.SH,-0.0086505534127354,0.836346,0,0,0,0,0,1.7522,0.20752
2022-08-09,0,110044.SH,0.0987405776977539,0.755068,1,0,0,0,0,1.8836,0.10112
2022-08-09,0,113046.SH,-0.0803919360041618,1.525712,0,0,0,0,0,4.616,0.35313
2022-08-09,0,113546.SH,-0.0496019572019577,3.403922,0,1,0,1,0,3.206,0.35518
2022-08-09,0,113573.SH,-0.0802411288022995,2.046798,0,1,0,0,0,3.6879,0.37313
2022-08-09,0,113605.SH,-0.0402394197881221,1.096474,0,0,0,1,0,4.2026,0.18854
2022-08-09,0,123136.SZ,-0.1716982126235962,7.326489,0,1,0,1,0,5.4511,0.00862
2022-08-10,0,110045.SH,-0.1053160950541496,1.835104,0,0,1,0,0,1.9247,0.00308
2022-08-10,0,118007.SH,-0.1152191832661628,3.908063,1,1,0,0,0,5.6153,0.875
2022-08-12,0,113578.SH,0.1390090882778167,1.028239,0,1,0,0,0,3.6879,0.04982
2022-08-15,0,128071.SZ,-0.0666833445429802,1.304732,0,0,0,0,0,3.0034,0.0569
2022-08-15,0,113597.SH,-0.0495550781488418,2.782565,0,1,0,0,0,3.9562,0.06918
2022-08-15,0,128142.SZ,-0.0215361211448907,0.482979,0,0,0,1,0,4.3422,0.04775
2022-08-15,0,110082.SH,-0.0346349850296974,3.040879,0,0,0,1,0,5.2019,0.01149
2022-08-15,0,111005.SH,-0.1314931362867355,2.895345,0,1,0,0,0,5.8563,0.33333
2022-08-16,0,123128.SZ,0.3171890377998352,1.127315,0,0,0,1,0,5.2101,0.61236
2022-08-16,0,128108.SZ,0.0131595702841877,2.212512,0,0,0,1,0,3.781,0.0096
2022-08-17,0,113576.SH,0.1236327961087226,1.90967,0,1,0,0,0,3.6468,0.04529
2022-08-17,0,118004.SH,-0.0112632326781749,2.825908,0,1,0,1,0,5.3826,0.52308
2022-08-17,0,123039.SZ,-0.0180158875882625,1.510291,0,1,1,0,0,3.3593,0.03074
2022-08-17,0,128033.SZ,-0.090101309120655,5.803567,0,0,1,0,0,1.3607,0.3406
2022-08-18,0,113574.SH,-0.1186288297176361,1.790932,0,1,0,0,0,3.6167,0.15206
2022-08-18,0,113601.SH,0.1093607917428016,1.648207,0,1,0,0,0,4.0082,0.22678
2022-08-19,0,127053.SZ,-0.0171013418585062,1.579036,0,1,0,1,0,5.4319,0.78378
2022-08-19,0,123124.SZ,-0.0288180783390998,2.176852,0,1,0,0,0,4.9911,0.21239
2022-08-19,0,113596.SH,0.1749855875968933,1.803636,0,1,0,0,1,3.9398,0.03942
2022-08-19,0,113609.SH,0.2207448631525039,8.741665,0,1,0,0,0,4.2656,0.24561
2022-08-19,0,113584.SH,-0.0061275972984731,0.663356,0,0,0,0,0,3.7947,0.01536
2022-08-19,0,113527.SH,0.2174495160579681,0.843853,0,0,1,0,0,2.4339,0.43499
2022-08-19,0,113589.SH,-0.0821691304445266,4.183015,0,1,0,0,0,3.8467,0.08679
2022-08-22,0,123126.SZ,-0.0279749240726232,2.518055,0,1,0,1,0,5.0513,0.41463
2022-08-22,0,128063.SZ,0.0897530987858772,1.877742,0,1,0,1,0,2.6146,0.2866
2022-08-23,0,123054.SZ,0.146377608180046,1.927862,1,1,0,0,0,3.7974,0.08511
2022-08-23,1,128015.SZ,-0.0208482965826988,2.259842,0,1,1,0,0,0.7912,0.26423
2022-08-23,0,128053.SZ,-0.1004754975438118,2.185904,0,0,0,0,0,2.4805,0.02738
2022-08-23,0,128069.SZ,-0.0819886550307273,4.170767,0,1,0,0,0,2.8364,0.28079
2022-08-24,0,110081.SH,-0.0595218166708946,1.283141,0,0,0,1,0,4.9254,0.20332
2022-08-24,0,113652.SH,0.0958807617425918,1.612004,0,0,0,0,0,5.911,0.2
2022-08-24,0,127022.SZ,-0.01225496083498,0.775449,0,0,0,0,0,4.1451,0.12821
2022-08-25,0,123093.SZ,-0.0857106521725654,2.983083,0,1,0,1,0,4.4025,0.05978
2022-08-25,0,113566.SH,0.0586968958377838,1.753043,0,1,0,0,0,3.5127,0.58763
2022-08-25,0,113646.SH,-0.1613359600305557,2.762613,0,1,0,0,0,5.6372,0.85714
2022-08-26,0,113610.SH,-0.0502012409269809,2.75609,0,1,0,0,0,4.2656,0.03457
2022-08-26,0,113633.SH,-0.0697097405791282,1.950019,0,0,0,0,0,5.2621,0.03822
2022-08-26,1,113058.SH,-0.0965940579771995,1.20019,0,0,0,1,0,5.5934,0.02469
2022-08-26,0,113575.SH,0.3502811789512634,0.472757,0,0,0,0,0,3.6194,0.06584
2022-08-29,0,113627.SH,-0.0664862245321273,1.783703,0,0,0,1,0,4.8761,0.06299
2022-08-29,0,127051.SZ,-0.0614309757947921,5.543098,0,1,1,1,0,5.2183,0.48795
2022-08-29,0,128078.SZ,-0.0386021323502063,1.15562,1,0,0,1,0,3.1458,0.05449
2022-08-30,0,113644.SH,-0.0575525052845478,1.442175,0,1,0,0,0,5.6263,0.06757
2022-08-30,0,123136.SZ,-0.1716982126235962,7.326489,0,1,0,1,0,5.3936,0.09924
2022-08-31,0,113594.SH,0.1083067804574966,9.410898,0,1,1,0,0,3.8877,0.15909
2022-08-31,0,113606.SH,-0.0024678229819983,2.381811,0,1,0,0,0,4.1643,0.0093
2022-09-01,1,113059.SH,-0.0436601117253303,1.432479,0,0,0,1,0,5.7166,0.94545
